timestamp_utc,turbidity,year,period
2016-09-14 05:00:00+00:00,335.6,2016,train
2016-09-14 06:00:00+00:00,372.2,2016,train
2016-09-14 08:00:00+00:00,388.9,2016,train
2016-09-14 09:00:00+00:00,363.0,2016,train
2017-05-22 08:00:00+00:00,326.6,2017,train
2017-05-22 14:00:00+00:00,368.0,2017,train
2017-05-22 15:00:00+00:00,434.8,2017,train
2017-05-22 16:00:00+00:00,506.7,2017,train
2017-05-22 17:00:00+00:00,425.3,2017,train
2017-05-22 18:00:00+00:00,546.2,2017,train
2017-05-22 19:00:00+00:00,524.1,2017,train
2017-05-22 20:00:00+00:00,710.9,2017,train
2017-05-22 21:00:00+00:00,461.3,2017,train
2017-05-22 22:00:00+00:00,402.2,2017,train
2017-05-22 23:00:00+00:00,403.3,2017,train
2017-05-23 00:00:00+00:00,446.9,2017,train
2017-05-23 01:00:00+00:00,506.5,2017,train
2017-05-23 02:00:00+00:00,324.4,2017,train
2017-05-23 03:00:00+00:00,449.9,2017,train
2017-05-23 04:00:00+00:00,433.6,2017,train
2017-06-09 15:00:00+00:00,417.4,2017,train
2017-06-09 19:00:00+00:00,332.3,2017,train
2017-07-30 16:00:00+00:00,604.8,2017,train
2017-07-30 17:00:00+00:00,1045.9,2017,train
2017-07-30 18:00:00+00:00,981.8,2017,train
2017-07-30 19:00:00+00:00,915.6,2017,train
2017-07-30 20:00:00+00:00,708.9,2017,train
2017-07-30 21:00:00+00:00,668.3,2017,train
2017-07-30 22:00:00+00:00,534.2,2017,train
2017-07-30 23:00:00+00:00,416.3,2017,train
2017-07-31 00:00:00+00:00,464.5,2017,train
2017-07-31 01:00:00+00:00,398.1,2017,train
2017-07-31 02:00:00+00:00,416.6,2017,train
2017-07-31 03:00:00+00:00,417.4,2017,train
2017-07-31 04:00:00+00:00,330.2,2017,train
2017-08-31 01:00:00+00:00,523.2,2017,train
2017-08-31 02:00:00+00:00,637.2,2017,train
2017-08-31 03:00:00+00:00,342.5,2017,train
2017-08-31 04:00:00+00:00,341.4,2017,train
2017-08-31 05:00:00+00:00,332.7,2017,train
2017-08-31 07:00:00+00:00,405.5,2017,train
2017-08-31 08:00:00+00:00,397.9,2017,train
2017-09-07 04:00:00+00:00,345.9,2017,train
2017-09-07 06:00:00+00:00,452.0,2017,train
2017-09-07 09:00:00+00:00,364.1,2017,train
2017-09-07 10:00:00+00:00,607.9,2017,train
2017-09-07 11:00:00+00:00,583.0,2017,train
2017-09-07 12:00:00+00:00,842.4,2017,train
2017-09-07 13:00:00+00:00,534.3,2017,train
2017-09-07 14:00:00+00:00,602.0,2017,train
2017-09-07 15:00:00+00:00,559.2,2017,train
2017-09-07 16:00:00+00:00,639.7,2017,train
2017-09-07 17:00:00+00:00,450.3,2017,train
2017-09-07 18:00:00+00:00,344.2,2017,train
2017-09-07 19:00:00+00:00,488.6,2017,train
2017-09-07 20:00:00+00:00,576.1,2017,train
2017-09-07 22:00:00+00:00,326.8,2017,train
2017-09-07 23:00:00+00:00,332.7,2017,train
2018-05-07 09:00:00+00:00,365.4,2018,train
2018-05-07 10:00:00+00:00,451.4,2018,train
2018-07-11 11:00:00+00:00,371.7,2018,train
2018-08-08 10:00:00+00:00,323.1,2018,train
2018-08-08 21:00:00+00:00,321.9,2018,train
2018-08-08 22:00:00+00:00,321.4,2018,train
2018-08-09 07:00:00+00:00,352.8,2018,train
2018-08-09 09:00:00+00:00,328.0,2018,train
2018-08-09 13:00:00+00:00,360.2,2018,train
2018-08-09 14:00:00+00:00,431.1,2018,train
2018-08-09 15:00:00+00:00,432.0,2018,train
2018-08-09 16:00:00+00:00,499.0,2018,train
2018-08-09 17:00:00+00:00,803.4,2018,train
2018-08-09 18:00:00+00:00,549.3,2018,train
2018-08-09 19:00:00+00:00,642.9,2018,train
2018-08-09 20:00:00+00:00,594.7,2018,train
2018-08-09 21:00:00+00:00,565.3,2018,train
2018-08-09 22:00:00+00:00,393.1,2018,train
2018-08-09 23:00:00+00:00,359.8,2018,train
2018-08-10 00:00:00+00:00,356.7,2018,train
2018-08-10 02:00:00+00:00,351.1,2018,train
2018-08-10 08:00:00+00:00,476.0,2018,train
2018-08-10 09:00:00+00:00,348.3,2018,train
2018-08-10 10:00:00+00:00,328.4,2018,train
2018-08-10 11:00:00+00:00,342.1,2018,train
2018-10-14 21:00:00+00:00,584.7,2018,train
2018-10-14 22:00:00+00:00,539.6,2018,train
2018-10-14 23:00:00+00:00,465.5,2018,train
2018-10-15 00:00:00+00:00,402.8,2018,train
2018-10-15 01:00:00+00:00,410.7,2018,train
2018-10-15 08:00:00+00:00,375.7,2018,train
2018-10-15 09:00:00+00:00,425.3,2018,train
2018-10-15 10:00:00+00:00,333.9,2018,train
2018-10-15 11:00:00+00:00,341.0,2018,train
2018-10-15 12:00:00+00:00,504.4,2018,train
2018-10-15 13:00:00+00:00,585.9,2018,train
2018-10-15 14:00:00+00:00,413.2,2018,train
2018-10-15 15:00:00+00:00,464.7,2018,train
2018-10-15 16:00:00+00:00,519.3,2018,train
2018-10-15 17:00:00+00:00,344.1,2018,train
2018-10-15 18:00:00+00:00,398.3,2018,train
2018-10-16 00:00:00+00:00,443.9,2018,train
2018-10-16 06:00:00+00:00,349.9,2018,train
2018-10-16 08:00:00+00:00,396.7,2018,train
2018-10-16 09:00:00+00:00,352.6,2018,train
2018-10-16 11:00:00+00:00,510.4,2018,train
2018-10-16 12:00:00+00:00,331.7,2018,train
2018-10-16 13:00:00+00:00,355.8,2018,train
2018-10-16 14:00:00+00:00,327.0,2018,train
2018-10-16 15:00:00+00:00,322.9,2018,train
2019-06-30 09:00:00+00:00,339.4,2019,train
2019-08-07 09:00:00+00:00,345.0,2019,train
2019-09-14 07:00:00+00:00,445.7,2019,train
2019-09-14 08:00:00+00:00,340.6,2019,train
2019-09-19 12:00:00+00:00,320.9,2019,train
2019-09-19 14:00:00+00:00,460.9,2019,train
2019-09-19 15:00:00+00:00,648.3,2019,train
2019-09-19 16:00:00+00:00,720.5,2019,train
2019-09-19 17:00:00+00:00,583.8,2019,train
2019-09-19 18:00:00+00:00,472.2,2019,train
2019-09-19 19:00:00+00:00,358.9,2019,train
2019-09-21 06:00:00+00:00,389.7,2019,train
2019-09-21 07:00:00+00:00,1302.6,2019,train
2019-09-21 08:00:00+00:00,795.6,2019,train
2019-09-21 09:00:00+00:00,827.5,2019,train
2019-09-21 10:00:00+00:00,1299.1,2019,train
2019-09-21 11:00:00+00:00,1241.6,2019,train
2019-09-21 12:00:00+00:00,1256.5,2019,train
2019-09-21 13:00:00+00:00,1043.8,2019,train
2019-09-21 14:00:00+00:00,842.3,2019,train
2019-09-21 15:00:00+00:00,918.8,2019,train
2019-09-21 16:00:00+00:00,569.6,2019,train
2019-09-21 17:00:00+00:00,592.2,2019,train
2019-09-21 18:00:00+00:00,543.5,2019,train
2019-09-21 19:00:00+00:00,404.1,2019,train
2019-09-21 20:00:00+00:00,559.3,2019,train
2019-09-21 22:00:00+00:00,377.4,2019,train
2019-09-21 23:00:00+00:00,407.5,2019,train
2019-09-22 00:00:00+00:00,333.3,2019,train
2019-09-22 01:00:00+00:00,414.4,2019,train
2019-09-22 02:00:00+00:00,404.7,2019,train
